fdc_id,description_en,description_de
168134,"Babyfood, dessert, blueberry yogurt, strained",
171373,"Babyfood, dessert, cherry vanilla pudding, junior",
170979,"Babyfood, dessert, cherry vanilla pudding, strained",
171380,"Babyfood, dessert, custard pudding, vanilla, junior",
171379,"Babyfood, dessert, custard pudding, vanilla, strained",
170977,"Babyfood, dessert, dutch apple, junior",
170976,"Babyfood, dessert, dutch apple, strained",
171377,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",
170983,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",
171374,"Babyfood, dessert, fruit pudding, orange, strained",
170982,"Babyfood, dessert, fruit pudding, pineapple, strained",
171376,"Babyfood, dessert, peach cobbler, junior",
171375,"Babyfood, dessert, peach cobbler, strained",
170981,"Babyfood, dessert, peach melba, junior",
170980,"Babyfood, dessert, peach melba, strained",
168133,"Babyfood, dessert, peach yogurt",
171378,"Babyfood, dessert, tropical fruit, junior",
172287,"Babyfood, dinner, apples and chicken, strained",
172260,"Babyfood, dinner, beef and rice, toddler",
173489,"Babyfood, dinner, beef lasagna, toddler",
173516,"Babyfood, dinner, beef noodle, junior",
172258,"Babyfood, dinner, beef noodle, strained",
172261,"Babyfood, dinner, beef with vegetables",
172288,"Babyfood, dinner, broccoli and chicken, junior",
169054,"Babyfood, dinner, chicken and rice",
172264,"Babyfood, dinner, chicken noodle, junior",
172263,"Babyfood, dinner, chicken noodle, strained",
173496,"Babyfood, dinner, chicken soup, strained",
173497,"Babyfood, dinner, chicken stew, toddler",
172270,"Babyfood, dinner, macaroni and cheese, junior",
173503,"Babyfood, dinner, macaroni and cheese, strained",
173491,"Babyfood, dinner, macaroni and tomato and beef, junior",
173490,"Babyfood, dinner, macaroni and tomato and beef, strained",
168125,"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",
172281,"Babyfood, dinner, mixed vegetable, junior",
173514,"Babyfood, dinner, mixed vegetable, strained",
172266,"Babyfood, dinner, pasta with vegetables",
173492,"Babyfood, dinner, spaghetti and tomato and meat, junior",
173493,"Babyfood, dinner, spaghetti and tomato and meat, toddler",
173521,"Babyfood, dinner, sweet potatoes and chicken, strained",
173500,"Babyfood, dinner, turkey and rice, junior",
172269,"Babyfood, dinner, turkey and rice, strained",
172286,"Babyfood, dinner, turkey, rice, and vegetables, toddler",
173495,"Babyfood, dinner, vegetables and beef, junior",
173494,"Babyfood, dinner, vegetables and beef, strained",
173513,"Babyfood, dinner, vegetables and chicken, junior",
173488,"Babyfood, dinner, vegetables and dumplings and beef, junior",
172256,"Babyfood, dinner, vegetables and dumplings and beef, strained",
172262,"Babyfood, dinner, vegetables and lamb, junior",
172268,"Babyfood, dinner, vegetables and noodles and turkey, junior",
172267,"Babyfood, dinner, vegetables and noodles and turkey, strained",
173502,"Babyfood, dinner, vegetables and turkey, junior",
173501,"Babyfood, dinner, vegetables and turkey, strained",
173498,"Babyfood, dinner, vegetables chicken, strained",
172265,"Babyfood, dinner, vegetables, noodles and chicken, junior",
173499,"Babyfood, dinner, vegetables, noodles and chicken, strained",
172252,"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",
171388,"Babyfood, fortified cereal bar, fruit filling",
170952,"Babyfood, fruit and vegetable, apple and sweet potato",
171341,"Babyfood, fruit dessert, mango with tapioca",
168140,"Babyfood, fruit supreme dessert",
170958,"Babyfood, fruit, apple and blueberry, junior",
170957,"Babyfood, fruit, apple and blueberry, strained",
171346,"Babyfood, fruit, apple and raspberry, junior",
171345,"Babyfood, fruit, apple and raspberry, strained",
170948,"Babyfood, fruit, applesauce and apricots, junior",
170947,"Babyfood, fruit, applesauce and apricots, strained",
170950,"Babyfood, fruit, applesauce and cherries, junior",
170949,"Babyfood, fruit, applesauce and cherries, strained",
171344,"Babyfood, fruit, applesauce and pineapple, junior",
171343,"Babyfood, fruit, applesauce and pineapple, strained",
170951,"Babyfood, fruit, applesauce with banana, junior",
172278,"Babyfood, fruit, applesauce, junior",
173512,"Babyfood, fruit, applesauce, strained",
170942,"Babyfood, fruit, apricot with tapioca, junior",
172279,"Babyfood, fruit, apricot with tapioca, strained",
170998,"Babyfood, fruit, banana and strawberry, junior",
170953,"Babyfood, fruit, bananas and pineapple with tapioca, junior",
170954,"Babyfood, fruit, bananas and pineapple with tapioca, strained",
170956,"Babyfood, fruit, bananas with apples and pears, strained",
172282,"Babyfood, fruit, bananas with tapioca, junior",
171335,"Babyfood, fruit, bananas with tapioca, strained",
171348,"Babyfood, fruit, guava and papaya with tapioca, strained",
171350,"Babyfood, fruit, papaya and applesauce with tapioca, strained",
